Date	ALCX
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	135.53
2022-02-28	120.59
2022-02-27	130.37
2022-02-26	128.83
2022-02-25	122.94
2022-02-24	131.06
2022-02-23	133.71
2022-02-22	131.87
2022-02-21	136.73
2022-02-20	142.01
2022-02-19	145.56
2022-02-18	151.98
2022-02-17	169.91
2022-02-16	172.98
2022-02-15	157.07
2022-02-14	156.57
2022-02-13	160.8
2022-02-12	161.82
2022-02-11	174.01
2022-02-10	183.32
2022-02-09	177.08
2022-02-08	183.77
2022-02-07	177.2
2022-02-06	177.26
2022-02-05	179.27
2022-02-04	154.27
2022-02-03	160.15
2022-02-02	178.68
2022-02-01	171.76
2022-01-31	167.25
2022-01-30	172.84
2022-01-29	170.23
2022-01-28	141.16
2022-01-27	147.14
2022-01-26	150.14
2022-01-25	157.16
2022-01-24	167.97
2022-01-23	159.42
2022-01-22	175.21
2022-01-21	222.15
2022-01-20	227.43
2022-01-19	248.68
2022-01-18	265.25
2022-01-17	296.9
2022-01-16	311.69
2022-01-15	314.52
2022-01-14	302.43
2022-01-13	311.47
2022-01-12	303.33
2022-01-11	271.15
2022-01-10	285.2
2022-01-09	285.77
2022-01-08	308.75
2022-01-07	356.77
2022-01-06	366.64
2022-01-05	296.41
2022-01-04	323.91
2022-01-03	318.92
2022-01-02	315.57
2022-01-01	274.43
2021-12-31	236.75
2021-12-30	236.77
2021-12-29	250.68
2021-12-28	223.33
2021-12-27	202.30
2021-12-26	203.63
2021-12-25	201.42
2021-12-24	212.17
2021-12-23	198.89
2021-12-22	186.51
2021-12-21	184.89
2021-12-20	187.93
2021-12-19	192.87
2021-12-18	192.02
2021-12-17	203.69
2021-12-16	207.75
2021-12-15	200.53
2021-12-14	198.52
2021-12-13	226.63
2021-12-12	224.16
2021-12-11	215.30
2021-12-10	232.27
2021-12-09	281.63
2021-12-08	283.05
2021-12-07	285.30
2021-12-06	288.78
2021-12-05	294.53
2021-12-04	309.95
2021-12-03	331.42
2021-12-02	355.15
2021-12-01	384.02
2021-11-30	382.63
2021-11-29	392.43
2021-11-28	307.31
2021-11-27	310.29
2021-11-26	385.11
2021-11-25	353.16
2021-11-24	373.23
2021-11-23	354.37
2021-11-22	378.85
2021-11-21	388.90
2021-11-20	376.68
2021-11-19	355.22
2021-11-18	418.87
2021-11-17	430.73
2021-11-16	474.16
2021-11-15	420.60
2021-11-14	440.01
2021-11-13	434.17
2021-11-12	448.81
2021-11-11	447.87
2021-11-10	484.26
2021-11-09	523.64
2021-11-08	539.34
2021-11-07	499.05
2021-11-06	494.05
2021-11-05	505.78
2021-11-04	528.80
2021-11-03	586.20
2021-11-02	452.90
2021-11-01	447.19
2021-10-31	466.39
2021-10-30	465.83
2021-10-29	433.63
2021-10-28	396.19
2021-10-27	450.50
2021-10-26	420.22
2021-10-25	386.12
2021-10-24	395.10
2021-10-23	376.27
2021-10-22	384.49
2021-10-21	395.72
2021-10-20	363.99
2021-10-19	359.96
2021-10-18	371.99
2021-10-17	376.24
2021-10-16	391.13
