Date	ALPHA
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	0.690469
2021-12-30	0.683977
2021-12-29	0.713741
2021-12-28	0.775087
2021-12-27	0.750418
2021-12-26	0.764596
2021-12-25	0.744316
2021-12-24	0.778020
2021-12-23	0.728700
2021-12-22	0.703929
2021-12-21	0.665807
2021-12-20	0.681877
2021-12-19	0.680297
2021-12-18	0.654247
2021-12-17	0.666748
2021-12-16	0.685590
2021-12-15	0.666002
2021-12-14	0.648319
2021-12-13	0.743298
2021-12-12	0.745102
2021-12-11	0.724237
2021-12-10	0.757811
2021-12-09	0.839036
2021-12-08	0.843316
2021-12-07	0.763852
2021-12-06	0.755359
2021-12-05	0.826581
2021-12-04	0.983569
2021-12-03	0.944995
2021-12-02	0.948823
2021-12-01	0.940325
2021-11-30	0.954233
2021-11-29	0.930845
2021-11-28	0.918151
2021-11-27	0.856237
2021-11-26	0.933053
2021-11-25	0.897217
2021-11-24	0.937401
2021-11-23	0.925314
2021-11-22	0.979642
2021-11-21	1.004904
2021-11-20	0.938171
2021-11-19	0.892484
2021-11-18	1.002562
2021-11-17	1.015891
2021-11-16	1.159902
2021-11-15	1.161577
2021-11-14	1.175031
2021-11-13	1.188517
2021-11-12	1.138614
2021-11-11	1.104019
2021-11-10	1.198553
2021-11-09	1.188115
2021-11-08	1.165720
2021-11-07	1.133710
2021-11-06	1.162237
2021-11-05	1.191832
2021-11-04	1.161061
2021-11-03	1.204738
2021-11-02	1.069045
2021-11-01	1.021653
2021-10-31	1.013352
2021-10-30	1.039435
2021-10-29	1.004492
2021-10-28	0.960703
2021-10-27	1.093828
2021-10-26	1.050116
2021-10-25	1.013792
2021-10-24	1.060044
2021-10-23	1.057110
2021-10-22	1.035509
2021-10-21	1.056424
2021-10-20	1.024548
2021-10-19	1.041963
2021-10-18	1.017872
2021-10-17	1.065161
2021-10-16	1.029611
2021-10-15	1.058352
2021-10-14	1.031651
2021-10-13	0.971176
2021-10-12	0.965543
2021-10-11	0.961484
2021-10-10	1.035562
2021-10-09	1.056422
2021-10-08	1.078875
