Date	AVAX
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	84.35
2022-02-28	74.98
2022-02-27	81.79
2022-02-26	80.85
2022-02-25	76.54
2022-02-24	73.67
2022-02-23	74.54
2022-02-22	70
2022-02-21	77.3
2022-02-20	85.11
2022-02-19	83.82
2022-02-18	88.22
2022-02-17	95.25
2022-02-16	92.75
2022-02-15	82.03
2022-02-14	78.2
2022-02-13	81.21
2022-02-12	81.76
2022-02-11	91.17
2022-02-10	90.03
2022-02-09	86.55
2022-02-08	83.22
2022-02-07	78.8
2022-02-06	77.24
2022-02-05	77.47
2022-02-04	68.11
2022-02-03	67.86
2022-02-02	73.43
2022-02-01	69.98
2022-01-31	67.98
2022-01-30	72.11
2022-01-29	67.12
2022-01-28	64.64
2022-01-27	65.97
2022-01-26	67.89
2022-01-25	62.9
2022-01-24	64.75
2022-01-23	59.79
2022-01-22	65.97
2022-01-21	79.14
2022-01-20	82.9
2022-01-19	86.02
2022-01-18	86.75
2022-01-17	92.26
2022-01-16	93.3
2022-01-15	90.35
2022-01-14	89.48
2022-01-13	95.82
2022-01-12	89.52
2022-01-11	84.53
2022-01-10	89.26
2022-01-09	84.05
2022-01-08	86.75
2022-01-07	95.18
2022-01-06	97.83
2022-01-05	103.26
2022-01-04	108.15
2022-01-03	113.17
2022-01-02	114.2
2022-01-01	109.38
2021-12-31	101.85
2021-12-30	103.10
2021-12-29	107.12
2021-12-28	113.76
2021-12-27	115.11
2021-12-26	115.01
2021-12-25	115.06
2021-12-24	121.40
2021-12-23	116.73
2021-12-22	123.38
2021-12-21	113.40
2021-12-20	107.68
2021-12-19	115.85
2021-12-18	111.01
2021-12-17	98.18
2021-12-16	101.21
2021-12-15	87.27
2021-12-14	79.05
2021-12-13	88.10
2021-12-12	86.43
2021-12-11	80.79
2021-12-10	85.56
2021-12-09	93.03
2021-12-08	89.69
2021-12-07	93.35
2021-12-06	86.48
2021-12-05	93.02
2021-12-04	108.74
2021-12-03	107.87
2021-12-02	119.68
2021-12-01	120.25
2021-11-30	120.44
2021-11-29	110.50
2021-11-28	113.75
2021-11-27	104.30
2021-11-26	119.16
2021-11-25	115.09
2021-11-24	123.88
2021-11-23	134.87
2021-11-22	128.78
2021-11-21	125.83
2021-11-20	112.08
2021-11-19	100.46
2021-11-18	107.58
2021-11-17	98.03
2021-11-16	94.03
2021-11-15	95.42
2021-11-14	97.56
2021-11-13	84.80
2021-11-12	87.88
2021-11-11	85.38
2021-11-10	88.30
2021-11-09	91.07
2021-11-08	87.71
2021-11-07	78.81
2021-11-06	74.30
2021-11-05	79.05
2021-11-04	75.58
2021-11-03	67.77
2021-11-02	64.97
2021-11-01	64.50
2021-10-31	62.31
2021-10-30	64.73
2021-10-29	64.38
2021-10-28	61.53
2021-10-27	68.67
2021-10-26	69.71
2021-10-25	64.55
2021-10-24	65.44
2021-10-23	65.53
2021-10-22	61.45
2021-10-21	59.63
2021-10-20	56.81
2021-10-19	55.53
2021-10-18	56.04
2021-10-17	57.57
2021-10-16	56.31
