Date	BAL
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	16.71
2021-12-30	15.84
2021-12-29	16.44
2021-12-28	18.20
2021-12-27	18.15
2021-12-26	18.25
2021-12-25	18.34
2021-12-24	19.17
2021-12-23	17.93
2021-12-22	18.55
2021-12-21	18.13
2021-12-20	17.46
2021-12-19	18.06
2021-12-18	16.39
2021-12-17	14.86
2021-12-16	14.93
2021-12-15	14.04
2021-12-14	13.67
2021-12-13	15.24
2021-12-12	15.23
2021-12-11	14.85
2021-12-10	15.42
2021-12-09	16.33
2021-12-08	15.89
2021-12-07	16.12
2021-12-06	15.83
2021-12-05	16.50
2021-12-04	18.99
2021-12-03	20.07
2021-12-02	20.67
2021-12-01	21.07
2021-11-30	20.95
2021-11-29	20.66
2021-11-28	19.77
2021-11-27	19.45
2021-11-26	22.46
2021-11-25	21.00
2021-11-24	21.77
2021-11-23	20.27
2021-11-22	21.10
2021-11-21	22.13
2021-11-20	20.54
2021-11-19	19.40
2021-11-18	21.49
2021-11-17	21.05
2021-11-16	23.63
2021-11-15	24.37
2021-11-14	24.31
2021-11-13	24.12
2021-11-12	24.91
2021-11-11	24.36
2021-11-10	26.35
2021-11-09	26.67
2021-11-08	26.13
2021-11-07	26.15
2021-11-06	27.01
2021-11-05	27.48
2021-11-04	28.55
2021-11-03	27.31
2021-11-02	26.25
2021-11-01	24.68
2021-10-31	24.53
2021-10-30	26.08
2021-10-29	26.17
2021-10-28	23.96
2021-10-27	24.48
2021-10-26	22.36
2021-10-25	21.53
2021-10-24	22.37
2021-10-23	22.01
2021-10-22	22.20
2021-10-21	22.97
2021-10-20	21.89
2021-10-19	21.66
2021-10-18	22.57
2021-10-17	22.76
2021-10-16	22.73
2021-10-15	22.36
2021-10-14	21.37
2021-10-13	20.41
2021-10-12	20.72
2021-10-11	20.71
2021-10-10	21.94
2021-10-09	21.90
2021-10-08	21.97
2021-10-07	22.02
2021-10-06	22.15
2021-10-05	21.85
2021-10-04	22.74
2021-10-03	22.39
2021-10-02	21.71
2021-10-01	19.79
2021-09-30	19.02
