Date	CRV
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	2.44
2022-02-28	2.19
2022-02-27	2.38
2022-02-26	2.35
2022-02-25	2.24
2022-02-24	2.30
2022-02-23	2.40
2022-02-22	2.34
2022-02-21	2.56
2022-02-20	2.80
2022-02-19	2.81
2022-02-18	2.91
2022-02-17	3.18
2022-02-16	3.17
2022-02-15	2.90
2022-02-14	2.76
2022-02-13	2.87
2022-02-12	2.89
2022-02-11	3.20
2022-02-10	3.50
2022-02-09	3.43
2022-02-08	3.57
2022-02-07	3.38
2022-02-06	3.43
2022-02-05	3.43
2022-02-04	3.10
2022-02-03	3.11
2022-02-02	3.47
2022-02-01	3.29
2022-01-31	3.19
2022-01-30	2.99
2022-01-29	2.91
2022-01-28	2.78
2022-01-27	2.87
2022-01-26	3.02
2022-01-25	2.82
2022-01-24	3.01
2022-01-23	2.88
2022-01-22	3.31
2022-01-21	3.97
2022-01-20	4.20
2022-01-19	4.56
2022-01-18	4.77
2022-01-17	5.14
2022-01-16	5.29
2022-01-15	5.35
2022-01-14	5.01
2022-01-13	4.90
2022-01-12	4.61
2022-01-11	4.30
2022-01-10	4.52
2022-01-09	4.61
2022-01-08	5.00
2022-01-07	5.40
2022-01-06	5.42
2022-01-05	6.07
2022-01-04	6.51
2022-01-03	6.03
2022-01-02	6.21
2022-01-01	5.35
2021-12-31	5.1184
2021-12-30	4.8464
2021-12-29	4.7273
2021-12-28	5.2792
2021-12-27	5.7428
2021-12-26	5.8378
2021-12-25	5.1893
2021-12-24	5.1898
2021-12-23	5.0502
2021-12-22	4.6229
2021-12-21	4.1148
2021-12-20	4.1479
2021-12-19	4.5188
2021-12-18	4.2862
2021-12-17	3.8268
2021-12-16	3.7035
2021-12-15	3.4288
2021-12-14	3.3152
2021-12-13	3.8487
2021-12-12	3.7306
2021-12-11	3.3514
2021-12-10	3.6657
2021-12-09	4.1676
2021-12-08	4.1623
2021-12-07	3.7233
2021-12-06	3.6022
2021-12-05	3.7400
2021-12-04	4.3960
2021-12-03	4.7468
2021-12-02	4.9898
2021-12-01	5.0466
2021-11-30	4.6872
2021-11-29	4.8785
2021-11-28	4.8491
2021-11-27	4.9266
2021-11-26	5.9216
2021-11-25	5.8517
2021-11-24	5.0424
2021-11-23	4.2474
2021-11-22	3.8029
2021-11-21	3.9427
2021-11-20	3.9703
2021-11-19	4.1315
2021-11-18	4.0329
2021-11-17	3.7112
2021-11-16	3.9412
2021-11-15	4.1307
2021-11-14	4.2289
2021-11-13	4.0285
2021-11-12	4.1775
2021-11-11	4.0984
2021-11-10	4.5221
2021-11-09	4.6365
2021-11-08	4.5009
2021-11-07	4.1148
2021-11-06	4.0887
2021-11-05	4.1606
2021-11-04	4.3716
2021-11-03	4.2765
2021-11-02	4.5081
2021-11-01	4.4205
2021-10-31	4.7369
2021-10-30	4.6557
2021-10-29	4.7808
2021-10-28	4.4179
2021-10-27	4.6354
2021-10-26	4.7887
2021-10-25	3.5031
2021-10-24	3.6948
2021-10-23	3.3208
