Date	ETH
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	2,919.78
2022-02-28	2,621.17
2022-02-27	2,780.50
2022-02-26	2,764.99
2022-02-25	2,598.44
2022-02-24	2,588.17
2022-02-23	2,639.45
2022-02-22	2,572.90
2022-02-21	2,627.67
2022-02-20	2,763.76
2022-02-19	2,784.87
2022-02-18	2,884.34
2022-02-17	3,126.86
2022-02-16	3,180.45
2022-02-15	2,933.73
2022-02-14	2,880.19
2022-02-13	2,916.79
2022-02-12	2,927.39
2022-02-11	3,077.41
2022-02-10	3,240.11
2022-02-09	3,121.18
2022-02-08	3,143.01
2022-02-07	3,057.42
2022-02-06	3,014.96
2022-02-05	2,984.45
2022-02-04	2,681.06
2022-02-03	2,682.23
2022-02-02	2,791.96
2022-02-01	2,687.90
2022-01-31	2,603.26
2022-01-30	2,598.56
2022-01-29	2,546.59
2022-01-28	2,421.65
2022-01-27	2,467.19
2022-01-26	2,455.58
2022-01-25	2,440.39
2022-01-24	2,535.89
2022-01-23	2,406.92
2022-01-22	2,561.15
2022-01-21	3,002.96
2022-01-20	3,095.27
2022-01-19	3,163.85
2022-01-18	3,212.29
2022-01-17	3,350.95
2022-01-16	3,330.39
2022-01-15	3,309.84
2022-01-14	3,248.65
2022-01-13	3,372.10
2022-01-12	3,238.45
2022-01-11	3,082.99
2022-01-10	3,157.57
2022-01-09	3,091.70
2022-01-08	3,193.50
2022-01-07	3,417.84
2022-01-06	3,549.71
2022-01-05	3,794.27
2022-01-04	3,761.36
2022-01-03	3,829.54
2022-01-02	3,769.30
2022-01-01	3,683.05
2021-12-31	3,713.43
2021-12-30	3,632.22
2021-12-29	3,797.44
2021-12-28	4,037.54
2021-12-27	4,064.75
2021-12-26	4,094.15
2021-12-25	4,049.78
2021-12-24	4,111.35
2021-12-23	3,981.96
2021-12-22	4,018.70
2021-12-21	3,938.46
2021-12-20	3,923.70
2021-12-19	3,960.87
2021-12-18	3,880.29
2021-12-17	3,959.01
2021-12-16	4,020.42
2021-12-15	3,862.25
2021-12-14	3,782.82
2021-12-13	4,136.36
2021-12-12	4,084.81
2021-12-11	3,909.67
2021-12-10	4,113.59
2021-12-09	4,433.02
2021-12-08	4,311.67
2021-12-07	4,358.59
2021-12-06	4,199.00
2021-12-05	4,119.63
2021-12-04	4,227.76
2021-12-03	4,514.36
2021-12-02	4,586.33
2021-12-01	4,623.68
2021-11-30	4,447.77
2021-11-29	4,296.95
2021-11-28	4,101.65
2021-11-27	4,043.00
2021-11-26	4,522.21
2021-11-25	4,271.39
2021-11-24	4,340.04
2021-11-23	4,089.68
2021-11-22	4,266.51
2021-11-21	4,412.20
2021-11-20	4,298.35
2021-11-19	3,995.73
2021-11-18	4,287.80
2021-11-17	4,213.91
2021-11-16	4,570.48
2021-11-15	4,627.09
2021-11-14	4,648.63
2021-11-13	4,666.72
2021-11-12	4,724.31
2021-11-11	4,635.45
2021-11-10	4,733.36
2021-11-09	4,810.07
2021-11-08	4,619.65
2021-11-07	4,523.98
2021-11-06	4,482.65
