Date	FTM
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	1.7815
2022-02-28	1.5872
2022-02-27	1.7698
2022-02-26	1.7213
2022-02-25	1.4890
2022-02-24	1.5816
2022-02-23	1.6094
2022-02-22	1.5410
2022-02-21	1.7294
2022-02-20	1.8762
2022-02-19	1.8667
2022-02-18	1.8953
2022-02-17	2.0686
2022-02-16	2.0891
2022-02-15	1.9294
2022-02-14	1.8993
2022-02-13	1.9491
2022-02-12	1.9405
2022-02-11	2.1095
2022-02-10	2.2517
2022-02-09	2.2090
2022-02-08	2.3210
2022-02-07	2.1595
2022-02-06	2.0925
2022-02-05	2.1224
2022-02-04	1.9546
2022-02-03	1.9227
2022-02-02	2.0721
2022-02-01	2.0472
2022-01-31	2.0310
2022-01-30	2.0960
2022-01-29	2.1273
2022-01-28	2.0798
2022-01-27	2.2521
2022-01-26	2.3797
2022-01-25	2.2538
2022-01-24	2.2828
2022-01-23	1.9623
2022-01-22	2.2796
2022-01-21	2.7220
2022-01-20	2.7817
2022-01-19	2.9543
2022-01-18	2.9336
2022-01-17	3.3043
2022-01-16	3.0089
2022-01-15	2.9605
2022-01-14	2.9974
2022-01-13	2.9411
2022-01-12	2.5836
2022-01-11	2.2275
2022-01-10	2.3944
2022-01-09	2.2920
2022-01-08	2.6039
2022-01-07	2.8998
2022-01-06	2.9523
2022-01-05	2.8788
2022-01-04	2.8599
2022-01-03	2.4849
2022-01-02	2.5821
2022-01-01	2.2555
2021-12-31	2.1014
2021-12-30	2.1360
2021-12-29	2.2303
2021-12-28	2.1998
2021-12-27	2.3372
2021-12-26	2.1118
2021-12-25	2.0834
2021-12-24	1.8636
2021-12-23	1.5983
2021-12-22	1.4818
2021-12-21	1.3633
2021-12-20	1.4277
2021-12-19	1.4212
2021-12-18	1.4039
2021-12-17	1.4274
2021-12-16	1.4760
2021-12-15	1.3157
2021-12-14	1.2794
2021-12-13	1.4926
2021-12-12	1.4866
2021-12-11	1.4178
2021-12-10	1.4202
2021-12-09	1.6436
2021-12-08	1.5936
2021-12-07	1.6031
2021-12-06	1.5307
2021-12-05	1.7202
2021-12-04	1.9881
2021-12-03	2.0669
2021-12-02	2.1432
2021-12-01	2.1365
2021-11-30	2.1637
2021-11-29	2.1129
2021-11-28	2.0854
2021-11-27	2.1158
2021-11-26	2.4691
2021-11-25	2.5886
2021-11-24	2.3142
2021-11-23	1.9494
2021-11-22	2.0792
2021-11-21	2.1809
2021-11-20	2.2639
2021-11-19	1.8455
2021-11-18	2.1498
2021-11-17	2.2058
2021-11-16	2.4749
2021-11-15	2.5892
2021-11-14	2.6190
2021-11-13	2.6314
2021-11-12	2.6019
2021-11-11	2.6482
2021-11-10	2.8679
2021-11-09	3.1637
2021-11-08	2.8709
2021-11-07	2.7706
2021-11-06	2.6577
2021-11-05	2.7692
2021-11-04	2.6716
2021-11-03	2.7239
2021-11-02	2.7040
2021-11-01	2.8654
2021-10-31	2.6657
2021-10-30	2.8760
2021-10-29	2.9238
2021-10-28	3.0956
