Date	FTT
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	45.97
2022-02-28	41.57
2022-02-27	43.32
2022-02-26	43.05
2022-02-25	41.27
2022-02-24	40.87
2022-02-23	41.56
2022-02-22	39.87
2022-02-21	40.90
2022-02-20	42.80
2022-02-19	43.13
2022-02-18	43.67
2022-02-17	46.48
2022-02-16	47.20
2022-02-15	44.88
2022-02-14	44.49
2022-02-13	44.18
2022-02-12	43.43
2022-02-11	44.89
2022-02-10	47.92
2022-02-09	46.47
2022-02-08	47.21
2022-02-07	46.62
2022-02-06	46.22
2022-02-05	45.97
2022-02-04	42.55
2022-02-03	42.92
2022-02-02	45.24
2022-02-01	43.67
2022-01-31	41.10
2022-01-30	41.68
2022-01-29	40.04
2022-01-28	38.28
2022-01-27	36.52
2022-01-26	36.44
2022-01-25	35.61
2022-01-24	35.96
2022-01-23	33.52
2022-01-22	38.47
2022-01-21	45.24
2022-01-20	46.73
2022-01-19	44.96
2022-01-18	44.40
2022-01-17	46.44
2022-01-16	46.06
2022-01-15	44.63
2022-01-14	40.93
2022-01-13	41.44
2022-01-12	39.75
2022-01-11	38.09
2022-01-10	37.21
2022-01-09	35.24
2022-01-08	35.49
2022-01-07	38.67
2022-01-06	38.20
2022-01-05	41.44
2022-01-04	40.23
2022-01-03	40.18
2022-01-02	40.19
2022-01-01	38.31
2021-12-31	38.93
2021-12-30	38.55
2021-12-29	40.06
2021-12-28	42.60
2021-12-27	42.62
2021-12-26	42.76
2021-12-25	42.73
2021-12-24	43.10
2021-12-23	41.35
2021-12-22	41.98
2021-12-21	40.53
2021-12-20	39.74
2021-12-19	39.91
2021-12-18	37.57
2021-12-17	38.38
2021-12-16	39.24
2021-12-15	38.86
2021-12-14	37.71
2021-12-13	41.31
2021-12-12	40.43
2021-12-11	38.68
2021-12-10	40.24
2021-12-09	44.02
2021-12-08	42.91
2021-12-07	44.04
2021-12-06	43.87
2021-12-05	44.02
2021-12-04	47.12
2021-12-03	49.38
2021-12-02	50.82
2021-12-01	50.63
2021-11-30	51.70
2021-11-29	50.90
2021-11-28	48.14
2021-11-27	47.57
2021-11-26	53.00
2021-11-25	50.09
2021-11-24	50.53
2021-11-23	49.40
2021-11-22	51.85
2021-11-21	53.38
2021-11-20	52.49
2021-11-19	50.27
2021-11-18	51.56
2021-11-17	50.36
2021-11-16	55.01
2021-11-15	56.01
2021-11-14	55.74
2021-11-13	58.02
2021-11-12	59.24
2021-11-11	59.03
2021-11-10	62.38
2021-11-09	65.26
2021-11-08	64.06
2021-11-07	61.58
2021-11-06	58.93
2021-11-05	59.68
2021-11-04	62.53
2021-11-03	61.18
2021-11-02	59.14
2021-11-01	59.38
2021-10-31	59.54
2021-10-30	61.33
2021-10-29	60.27
2021-10-28	57.97
2021-10-27	62.77
2021-10-26	65.67
2021-10-25	61.82
2021-10-24	63.45
2021-10-23	62.84
2021-10-22	61.57
2021-10-21	61.37
2021-10-20	57.07
2021-10-19	55.53
2021-10-18	56.39
2021-10-17	56.31
2021-10-16	56.99
