Date	IMX
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	0.184602
2021-12-30	0.181589
2021-12-29	0.192736
2021-12-28	0.193838
2021-12-27	0.184280
2021-12-26	0.181650
2021-12-25	0.181682
2021-12-24	0.202326
2021-12-23	0.199273
2021-12-22	0.200818
2021-12-21	0.197737
2021-12-20	0.202510
2021-12-19	0.203910
2021-12-18	0.206177
2021-12-17	0.207481
2021-12-16	0.210404
2021-12-15	0.195698
2021-12-14	0.187604
2021-12-13	0.214935
2021-12-12	0.215061
2021-12-11	0.220790
2021-12-10	0.234006
2021-12-09	0.245733
2021-12-08	0.243290
2021-12-07	0.252016
2021-12-06	0.272561
2021-12-05	0.301598
2021-12-04	0.321014
2021-12-03	0.329982
2021-12-02	0.366534
2021-12-01	0.401787
2021-11-30	0.388596
2021-11-29	0.378047
2021-11-28	0.375015
2021-11-27	0.363721
2021-11-26	0.399384
2021-11-25	0.364342
2021-11-24	0.351846
2021-11-23	0.334580
2021-11-22	0.504530
2021-11-21	2.312647
2021-11-20	0.393036
2021-11-19	0.503800
2021-11-18	5.403085
2021-11-17	0.473596
2021-11-16	0.445696
2021-11-15	0.374488
2021-11-14	0.345486
2021-11-13	0.571507
2021-11-12	0.466884
2021-11-11	0.488822
2021-11-10	0.496338
2021-11-09	0.535719
2021-11-08	0.535518
2021-11-07	0.478882
2021-11-06	0.573701
2021-11-05	0.702141
2021-11-04	0.627511
2021-11-03	0.838565
2021-11-02	0.864052
2021-11-01	0.764776
2021-10-31	0.852603
2021-10-30	0.443017
2021-10-29	0.412433
2021-10-28	0.378383
2021-10-27	0.396268
2021-10-26	0.405094
2021-10-25	0.355182
2021-10-24	0.376615
2021-10-23	0.375139
2021-10-22	0.436383
2021-10-21	0.440604
2021-10-20	0.372971
2021-10-19	0.296877
2021-10-18	0.266178
2021-10-17	0.281986
2021-10-16	0.279567
2021-10-15	0.278083
2021-10-14	0.205638
2021-10-13	0.191445
2021-10-12	0.185059
2021-10-11	0.192997
2021-10-10	0.221549
2021-10-09	0.269384
2021-10-08	0.309153
