Date	MOB
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	10.0815
2021-12-30	10.4098
2021-12-29	10.5437
2021-12-28	10.5886
2021-12-27	10.7384
2021-12-26	11.1098
2021-12-25	10.9237
2021-12-24	10.6173
2021-12-23	10.5654
2021-12-22	10.6032
2021-12-21	11.0533
2021-12-20	11.3937
2021-12-19	11.3724
2021-12-18	11.3173
2021-12-17	11.9547
2021-12-16	12.3111
2021-12-15	12.1644
2021-12-14	12.2086
2021-12-13	14.3696
2021-12-12	14.3371
2021-12-11	14.8062
2021-12-10	15.8724
2021-12-09	15.8520
2021-12-08	15.5593
2021-12-07	13.7239
2021-12-06	13.4398
2021-12-05	12.5575
2021-12-04	14.0902
2021-12-03	14.1062
2021-12-02	14.3997
2021-12-01	13.9749
2021-11-30	13.9731
2021-11-29	14.6001
2021-11-28	14.7630
2021-11-27	14.0583
2021-11-26	16.2192
2021-11-25	13.7154
2021-11-24	11.8641
2021-11-23	12.0443
2021-11-22	12.6886
2021-11-21	12.3498
2021-11-20	12.0766
2021-11-19	11.4368
2021-11-18	12.1173
2021-11-17	12.1010
2021-11-16	12.8100
2021-11-15	13.1313
2021-11-14	12.8208
2021-11-13	13.4885
2021-11-12	14.6696
2021-11-11	14.3346
2021-11-10	13.4921
2021-11-09	12.5435
2021-11-08	12.6268
2021-11-07	12.3594
2021-11-06	12.9597
2021-11-05	14.0955
2021-11-04	9.4255
2021-11-03	9.1312
2021-11-02	9.0141
2021-11-01	9.1154
2021-10-31	9.2828
2021-10-30	9.7915
2021-10-29	9.6396
2021-10-28	9.6273
2021-10-27	9.5464
2021-10-26	9.0865
2021-10-25	7.4612
2021-10-24	8.4073
2021-10-23	8.3415
2021-10-22	8.6619
2021-10-21	9.3153
2021-10-20	9.1757
2021-10-19	9.1396
2021-10-18	9.3927
2021-10-17	9.2145
2021-10-16	9.3806
2021-10-15	9.5027
2021-10-14	9.2546
2021-10-13	9.5432
2021-10-12	10.1218
2021-10-11	9.9282
2021-10-10	9.8456
2021-10-09	9.9561
2021-10-08	9.8275
