Date	SOL
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	99.54
2022-02-28	85.50
2022-02-27	90.12
2022-02-26	92.61
2022-02-25	89.23
2022-02-24	84.86
2022-02-23	86.47
2022-02-22	83.11
2022-02-21	90.88
2022-02-20	91.44
2022-02-19	90.05
2022-02-18	93.46
2022-02-17	101.90
2022-02-16	104.93
2022-02-15	96.44
2022-02-14	93.19
2022-02-13	95.89
2022-02-12	96.40
2022-02-11	106.23
2022-02-10	114.02
2022-02-09	113.53
2022-02-08	117.41
2022-02-07	115.28
2022-02-06	113.90
2022-02-05	112.21
2022-02-04	101.34
2022-02-03	101.83
2022-02-02	110.02
2022-02-01	99.73
2022-01-31	93.30
2022-01-30	96.25
2022-01-29	91.35
2022-01-28	89.53
2022-01-27	92.22
2022-01-26	94.72
2022-01-25	91.66
2022-01-24	99.62
2022-01-23	94.31
2022-01-22	111.98
2022-01-21	127.33
2022-01-20	135.79
2022-01-19	141.55
2022-01-18	139.93
2022-01-17	147.88
2022-01-16	147.79
2022-01-15	146.18
2022-01-14	146.03
2022-01-13	151.69
2022-01-12	140.20
2022-01-11	135.94
2022-01-10	140.83
2022-01-09	142.54
2022-01-08	136.40
2022-01-07	150.41
2022-01-06	155.11
2022-01-05	167.94
2022-01-04	170.29
2022-01-03	176.39
2022-01-02	178.53
2022-01-01	170.31
2021-12-31	172.70
2021-12-30	170.76
2021-12-29	177.39
2021-12-28	195.62
2021-12-27	197.88
2021-12-26	192.92
2021-12-25	190.53
2021-12-24	190.10
2021-12-23	178.50
2021-12-22	179.86
2021-12-21	173.69
2021-12-20	179.98
2021-12-19	182.85
2021-12-18	175.66
2021-12-17	176.89
2021-12-16	178.59
2021-12-15	161.36
2021-12-14	155.14
2021-12-13	173.10
2021-12-12	171.95
2021-12-11	167.92
2021-12-10	181.47
2021-12-09	194.48
2021-12-08	190.51
2021-12-07	194.28
2021-12-06	196.55
2021-12-05	200.78
2021-12-04	212.11
2021-12-03	233.60
2021-12-02	229.85
2021-12-01	208.39
2021-11-30	204.23
2021-11-29	200.82
2021-11-28	193.28
2021-11-27	192.28
2021-11-26	210.05
2021-11-25	205.89
2021-11-24	221.86
2021-11-23	215.84
2021-11-22	230.99
2021-11-21	217.78
2021-11-20	215.41
2021-11-19	195.07
2021-11-18	218.88
2021-11-17	219.30
2021-11-16	238.50
2021-11-15	238.73
2021-11-14	241.86
2021-11-13	228.60
2021-11-12	233.72
2021-11-11	233.91
2021-11-10	239.13
2021-11-09	248.36
2021-11-08	249.98
2021-11-07	258.78
2021-11-06	236.49
2021-11-05	247.27
2021-11-04	243.10
2021-11-03	221.08
2021-11-02	203.52
2021-11-01	202.63
2021-10-31	195.77
2021-10-30	200.23
2021-10-29	194.91
2021-10-28	184.52
2021-10-27	199.87
2021-10-26	209.53
2021-10-25	202.32
2021-10-24	197.97
2021-10-23	196.30
2021-10-22	190.45
2021-10-21	176.77
2021-10-20	155.88
2021-10-19	157.21
2021-10-18	160.00
2021-10-17	157.46
2021-10-16	163.01
