Date	SUSHI
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	10.2557
2021-12-30	9.2512
2021-12-29	9.0660
2021-12-28	9.1395
2021-12-27	7.9290
2021-12-26	7.6092
2021-12-25	7.9659
2021-12-24	7.3061
2021-12-23	6.3739
2021-12-22	5.8331
2021-12-21	5.4496
2021-12-20	5.3264
2021-12-19	5.6052
2021-12-18	5.5206
2021-12-17	5.6947
2021-12-16	5.9512
2021-12-15	5.7402
2021-12-14	5.6397
2021-12-13	5.5880
2021-12-12	5.7220
2021-12-11	5.1001
2021-12-10	5.5187
2021-12-09	6.6008
2021-12-08	5.8731
2021-12-07	6.3212
2021-12-06	5.2810
2021-12-05	5.8265
2021-12-04	6.8556
2021-12-03	7.3766
2021-12-02	7.5563
2021-12-01	8.0218
2021-11-30	7.4691
2021-11-29	7.9425
2021-11-28	7.0643
2021-11-27	7.0189
2021-11-26	8.1930
2021-11-25	7.9632
2021-11-24	8.3687
2021-11-23	8.2345
2021-11-22	8.7581
2021-11-21	9.0476
2021-11-20	9.0101
2021-11-19	8.7866
2021-11-18	9.7421
2021-11-17	9.6655
2021-11-16	10.3571
2021-11-15	11.0537
2021-11-14	11.1909
2021-11-13	10.9800
2021-11-12	11.1516
2021-11-11	11.1172
2021-11-10	11.9650
2021-11-09	12.3092
2021-11-08	12.1054
2021-11-07	11.8602
2021-11-06	12.1461
2021-11-05	12.9775
2021-11-04	13.4316
2021-11-03	12.1172
2021-11-02	12.7690
2021-11-01	10.8482
2021-10-31	11.0895
2021-10-30	11.4289
2021-10-29	10.9812
2021-10-28	10.1436
2021-10-27	11.3708
2021-10-26	10.7561
2021-10-25	10.5371
2021-10-24	10.9985
2021-10-23	10.6837
2021-10-22	10.8957
2021-10-21	11.5298
2021-10-20	10.7184
2021-10-19	10.8074
2021-10-18	11.1374
2021-10-17	11.3862
2021-10-16	11.0782
2021-10-15	10.7581
2021-10-14	10.2790
2021-10-13	10.0445
2021-10-12	10.3453
2021-10-11	10.2649
2021-10-10	10.9485
2021-10-09	10.7113
2021-10-08	10.7805
