Date	USDJPY
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	114.65
2022-03-05	114.65
2022-03-04	114.65
2022-03-03	115.67
2022-03-02	115.59
2022-03-01	114.87
2022-02-28	115.11
2022-02-27	115.62
2022-02-26	115.62
2022-02-25	115.62
2022-02-24	115.45
2022-02-23	115.12
2022-02-22	114.94
2022-02-21	115.08
2022-02-20	115.08
2022-02-19	115.08
2022-02-18	115.08
2022-02-17	115.03
2022-02-16	115.41
2022-02-15	115.64
2022-02-14	115.72
2022-02-13	115.91
2022-02-12	115.91
2022-02-11	115.91
2022-02-10	115.84
2022-02-09	115.44
2022-02-08	115.62
2022-02-07	115.09
2022-02-06	115.22
2022-02-05	115.22
2022-02-04	115.22
2022-02-03	114.88
2022-02-02	114.36
2022-02-01	114.77
2022-01-31	115.22
2022-01-30	115.21
2022-01-29	115.21
2022-01-28	115.21
2022-01-27	115.47
2022-01-26	114.33
2022-01-25	113.88
2022-01-24	113.82
2022-01-23	113.72
2022-01-22	113.72
2022-01-21	113.72
2022-01-20	114.08
2022-01-19	114.28
2022-01-18	114.6
2022-01-17	113.89
2022-01-16	113.89
2022-01-15	113.89
2022-01-14	113.89
2022-01-13	114.06
2022-01-12	114.74
2022-01-11	115.38
2022-01-10	115.14
2022-01-09	115.61
2022-01-08	115.61
2022-01-07	115.61
2022-01-06	115.78
2022-01-05	115.91
2022-01-04	116.12
2022-01-03	115.27
2022-01-02	115.17
2022-01-01	115.17
2021-12-31	115.17
2021-12-30	115.17
2021-12-29	114.97
2021-12-28	114.75
2021-12-27	114.85
2021-12-26	114.42
2021-12-25	114.42
2021-12-24	114.42
2021-12-23	114.42
2021-12-22	114.22
2021-12-21	114.11
2021-12-20	113.45
2021-12-19	113.56
2021-12-18	113.56
2021-12-17	113.56
2021-12-16	113.67
2021-12-15	113.83
2021-12-14	113.63
2021-12-13	113.42
2021-12-12	113.36
2021-12-11	113.36
2021-12-10	113.36
2021-12-09	113.53
2021-12-08	113.83
2021-12-07	113.61
2021-12-06	113.31
2021-12-05	112.88
2021-12-04	112.88
2021-12-03	112.88
2021-12-02	113.1
2021-12-01	112.82
2021-11-30	113.22
2021-11-29	113.75
2021-11-28	113.46
2021-11-27	113.46
2021-11-26	113.46
2021-11-25	115.34
2021-11-24	115.34
2021-11-23	114.98
2021-11-22	114.69
2021-11-21	113.81
2021-11-20	113.81
2021-11-19	113.81
2021-11-18	114.22
2021-11-17	114.33
2021-11-16	114.62
2021-11-15	113.96
2021-11-14	113.9
2021-11-13	113.9
2021-11-12	113.9
2021-11-11	113.89
2021-11-10	113.89
2021-11-09	112.87
2021-11-08	113.15
2021-11-07	113.45
2021-11-06	113.45
2021-11-05	113.45
2021-11-04	113.63
2021-11-03	114.06
2021-11-02	113.78
2021-11-01	114.19
2021-10-31	114.03
2021-10-30	114.03
2021-10-29	114.03
2021-10-28	113.38
2021-10-27	113.75
2021-10-26	114.19
2021-10-25	113.7
2021-10-24	113.54
2021-10-23	113.54
2021-10-22	113.54
2021-10-21	113.75
2021-10-20	114.24
2021-10-19	114.27
2021-10-18	114.22
