Date	YFI
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	30,225
2021-12-30	28,624
2021-12-29	28,722
2021-12-28	31,749
2021-12-27	31,142
2021-12-26	31,231
2021-12-25	32,563
2021-12-24	31,569
2021-12-23	31,638
2021-12-22	34,685
2021-12-21	36,738
2021-12-20	31,979
2021-12-19	31,328
2021-12-18	33,628
2021-12-17	24,637
2021-12-16	20,653
2021-12-15	20,130
2021-12-14	19,597
2021-12-13	21,754
2021-12-12	21,518
2021-12-11	20,093
2021-12-10	21,023
2021-12-09	23,080
2021-12-08	22,055
2021-12-07	23,898
2021-12-06	23,783
2021-12-05	24,673
2021-12-04	27544.07000
2021-12-03	28,831
2021-12-02	28,942
2021-12-01	29,566
2021-11-30	30,185
2021-11-29	30,037
2021-11-28	29,235
2021-11-27	28,717
2021-11-26	32,045
2021-11-25	31,119
2021-11-24	31,642
2021-11-23	31,193
2021-11-22	31,643
2021-11-21	31,994
2021-11-20	31,806
2021-11-19	32,457
2021-11-18	31,194
2021-11-17	30,663
2021-11-16	33,510
2021-11-15	33,580
2021-11-14	32,782
2021-11-13	32,253
2021-11-12	33,772
2021-11-11	33,069
2021-11-10	34,568
2021-11-09	35,663
2021-11-08	35,570
2021-11-07	33,919
2021-11-06	34,040
2021-11-05	34,036
2021-11-04	34,725
2021-11-03	35,018
2021-11-02	34,878
2021-11-01	34,120
2021-10-31	33,821
2021-10-30	34,896
2021-10-29	34,294
2021-10-28	33,858
2021-10-27	37,599
2021-10-26	34,769
2021-10-25	34,544
2021-10-24	35,829
2021-10-23	34,592
2021-10-22	34,306
2021-10-21	36,033
2021-10-20	34,770
2021-10-19	33,846
2021-10-18	34,805
2021-10-17	35,048
2021-10-16	35,985
2021-10-15	35,388
2021-10-14	34,630
2021-10-13	34,812
2021-10-12	35,541
2021-10-11	32,658
2021-10-10	33,999
2021-10-09	34,557
2021-10-08	32,162
2021-10-07	32,069
2021-10-06	31,924
2021-10-05	30,777
2021-10-04	31,362
2021-10-03	31,964
2021-10-02	31,676
2021-10-01	29,180
2021-09-30	28,594
