Date	1INCH	AAVE	ADA	ALCX	ALGO	ALPHA	AR	AVAX	BAL	BAT	BNB	BTC	BUSD	CRV	DOGE	DOT	ETH	FTM	FTT	IMX	JPY	LINK	LOOKS	MATIC	MOB	NANO	SOL	SRM	STORJ	SUSHI	TFUEL	UNI	USDJPY	USDT	XEM	XMR	XRP	YFI	ZEC
2022-03-31																																							
2022-03-30																																							
2022-03-29																																							
2022-03-28																																							
2022-03-27																																							
2022-03-26																																							
2022-03-25																																							
2022-03-24																																							
2022-03-23																																							
2022-03-22																																							
2022-03-21																																							
2022-03-20																																							
2022-03-19																																							
2022-03-18																																							
2022-03-17			0.8384								385.46		0.9995																										
2022-03-16																																							
2022-03-15																																							
2022-03-14																																							
2022-03-13																																							
2022-03-12																																							
2022-03-11																																							
2022-03-10																																							
2022-03-09																																							
2022-03-08																																							
2022-03-07																																							
2022-03-06																					0.008722197994												114.65						
2022-03-05																					0.008722197994												114.65						
2022-03-04																					0.008722197994												114.65						
2022-03-03																					0.008645283998												115.67						
2022-03-02																					0.008651267411												115.59						
2022-03-01				135.53				84.35						2.44			2,919.78	1.7815	45.97		0.008705493166						99.54	2.0892					114.87						
2022-02-28				120.59				74.98						2.19			2,621.17	1.5872	41.57		0.008687342542						85.50	1.9035					115.11						
2022-02-27				130.37				81.79						2.38			2,780.50	1.7698	43.32		0.00864902266						90.12	1.9798					115.62						
2022-02-26				128.83				80.85						2.35			2,764.99	1.7213	43.05		0.00864902266						92.61	1.9448					115.62						
2022-02-25				122.94				76.54						2.24			2,598.44	1.4890	41.27		0.00864902266						89.23	1.8392					115.62						
2022-02-24				131.06				73.67						2.30			2,588.17	1.5816	40.87		0.008661758337						84.86	1.8805					115.45						
2022-02-23				133.71				74.54						2.40			2,639.45	1.6094	41.56		0.008686587908						86.47	1.9513					115.12						
2022-02-22				131.87				70						2.34			2,572.90	1.5410	39.87		0.008700191404						83.11	1.9106					114.94						
2022-02-21				136.73				77.3						2.56			2,627.67	1.7294	40.90		0.00868960723						90.88	2.0625					115.08						
2022-02-20				142.01				85.11						2.80			2,763.76	1.8762	42.80		0.00868960723						91.44	2.1528					115.08						
2022-02-19				145.56				83.82						2.81			2,784.87	1.8667	43.13		0.00868960723						90.05	2.1609					115.08						
2022-02-18				151.98				88.22						2.91			2,884.34	1.8953	43.67		0.00868960723						93.46	2.209					115.08						
2022-02-17				169.91				95.25						3.18			3,126.86	2.0686	46.48		0.008693384335						101.90	2.4355					115.03						
2022-02-16				172.98				92.75						3.17			3,180.45	2.0891	47.20		0.008664760419						104.93	2.452					115.41						
2022-02-15				157.07				82.03						2.90			2,933.73	1.9294	44.88		0.008647526807						96.44	2.2686					115.64						
2022-02-14				156.57				78.2						2.76			2,880.19	1.8993	44.49		0.008641548566						93.19	2.2579					115.72						
2022-02-13				160.8				81.21						2.87			2,916.79	1.9491	44.18		0.008627383315						95.89	2.2795					115.91						
2022-02-12				161.82				81.76						2.89			2,927.39	1.9405	43.43		0.008627383315						96.40	2.3315					115.91						
2022-02-11				174.01				91.17						3.20			3,077.41	2.1095	44.89		0.008627383315						106.23	2.4867					115.91						
2022-02-10				183.32				90.03						3.50			3,240.11	2.2517	47.92		0.008632596685						114.02	2.6441					115.84						
2022-02-09				177.08				86.55						3.43			3,121.18	2.2090	46.47		0.008662508663						113.53	2.557					115.44						
2022-02-08				183.77				83.22						3.57			3,143.01	2.3210	47.21		0.00864902266						117.41	2.6891					115.62						
